qr_signature_valid,qr_age_hours,qr_scan_location_risk,weight_delta_kg,weight_anomaly,items_missing_count,rfid_signal_strength,camera_confidence,camera_alert,quantity_change,transaction_velocity,user_risk_score,product_value,product_category_risk,hour_of_day,day_of_week,is_weekend,is_night_shift,physical_digital_mismatch,qr_sensor_correlation,is_fraud
1,58.18380599068449,0.23202665998433378,-0.07120786965571871,0,0,74.13000862832828,0.8092166099424872,0,3,3.7906036637485485,0.0648543193105282,1644.9282489228003,0.7947757534138409,21,3,0,0,-0.1751910553159381,0.7713500832092706,0
1,52.18400373085854,0.2704325983704029,0.9852846282150272,0,0,78.27912469646844,0.7302004606680815,0,4,2.9962882959059076,0.20871495243815588,789.403671625979,0.367487381506915,17,1,0,0,-2.0561586665346105,0.8968402929326238,0
1,39.575949425946355,0.1163110128098854,2.175307050094529,0,0,79.75257623642992,0.684050587064248,0,-2,1.0473455104621665,0.09350482394520875,1461.7910076819173,0.3076446795427759,11,3,0,0,-2.3012676674919588,0.7683779257687905,0
1,61.02252414575426,0.2055671049683215,-0.5066147033747244,0,0,70.95714805044845,0.650305977369892,0,-3,1.8628136021953934,0.20213822428642778,520.8414117112258,0.6920696442332566,16,0,0,0,1.018140136063571,0.9757000748729272,0
1,17.43024121376234,0.07211677293287345,-4.308572754525895,0,0,90.15538549313027,0.8838091861266089,0,0,2.3408209825919823,0.08048992566419924,1294.627997178675,0.6594962500212502,9,0,0,0,-5.612033758984371,0.732994374513429,0
1,45.919771080773444,0.07084073260635337,-3.095939025536188,0,0,73.71324019057396,0.7508746211059258,0,0,3.0200742523865456,0.24645632400669154,1446.6259173248488,0.741630628971907,10,0,0,0,0.2351150513034047,0.7523617906425716,0
1,67.97532462692013,0.10857011061451645,0.8765568991073773,0,0,80.54675288488365,0.7014281084542512,0,0,0.7652337966248746,0.02279980657405409,402.80900786914685,0.5429629494925897,16,1,0,0,1.5404045228590124,0.716097174040482,0
1,15.820993286741693,0.08634515919566293,0.9668666997026837,0,0,85.32178613297845,0.7569348270700864,0,-3,8.382392052471776,0.19670600479026537,1602.481330549624,0.3294407846511384,16,3,0,0,0.699527768062128,0.9130764673613775,0
1,64.2176246433238,0.25925717922210584,3.6513529265236238,0,0,98.28773464229727,0.854138874388498,0,1,0.918587533768831,0.24800104263939216,521.9435754847846,0.6815119662642828,8,3,0,0,-1.6918530325475454,0.741751347741841,0
0,7.324218510395025,0.8783622449234233,-23.42988955762855,1,21,53.78591699303684,0.7181628260909791,1,-8,17.074542524123455,0.7814146638234271,1842.1591186099113,0.9326870790206183,4,2,0,1,34.58191562295319,0.05170592821731607,1
1,44.34488059751325,0.06762818264673216,-3.229345090545216,0,0,94.9191773580625,0.7448427759921724,0,3,4.50408665535153,0.17989167066567313,543.4087453777615,0.7612306742290739,21,4,0,0,-1.3510941826149425,0.8970870307467206,0
1,8.755117010821122,0.09942802862339604,-3.5520965579238597,0,0,85.05156539288632,0.883560029833257,0,0,4.456921201483808,0.06099704160445926,1804.992949568028,0.7286753998217244,6,4,0,0,0.6071214941665503,0.8749515904198477,0
